echidna;Echidna;Echidna fille de Tartare et Gaïa. Physique : Femme a queue de serpent<br><br>Echidna est la compagne de Typhon, elle est donc la mère de la grande majorité des monstres mytholigues, la partie superieure de son corps est decrite comme celle d'une femme magnifique et la partie inférieure de son corps est celui d'un serpent géant qu'elle utilisait pour       broyer ses victimes. Quand son amant Typhon combattu Zeus, Echidna se battait à ses côtés, elle en voulait à Zeus qui était à l'origine de la mort de beaucoup de ses enfants. Une fois vaincu le couple fut exilé au fond du Tartare.
typhon;Typhon;Typhon fils de Gaïa et Tartare. Physique : Géant ailé, jambes de serpent, mille têtes dont une humaine et des serpents à la place des doigts.<br><br>Histoire de typhon : En une journée il grandit jusqu’à atteindre le ciel au point de faire peur aux olympiens, Zeus l'affronte avec l’aide d'Athéna et des Moires (divinité du Destin). Zeus a enterré Typhon avec une montagne nommée  Etna.
sphinx;Sphinx;Sphinx fille d’Orthros et Chimère. Physique:Corps de lion ailé à tête de femme<br><br>Histoire du Sphinx : Le Sphinx terrorisait les habitants de Thèbes, massacrait les champs et récoltes, envoyé par Héra, le Sphinx répétait une énigme et dévorait toutes personnes qui ne donnait pas la bonne réponse. « Qu’est ce qui a une voix, et quatre jambes, et deux jambes et trois jambes » Œdipe fils de Laïos et Jocaste, vaincu le Sphinx en répondant à son énigme : « L’Homme » .
hydre;Hydre de lerne;Physique : Serpent à neuf têtes<br><br>Histoire : L’hydre de Lerne possède neuf têtes dont une dorée immortelle, à chaque fois qu’on lui coupe une tête, deux en repousse. Pour la vaincre Iolas cautérisait les têtes coupées et Héraclès l’enterra vivante sous une montagne.
chimere;Chimère;Physique : Corps de lion, une tête de lion, une queue à tête de serpent et une tête de chèvre.<br><br>Histoire : Étant une créature dangereuse, Bellérophon fut envoyé pour vaincre la chimère, mais il lui fallait une monture plus rapide que les flammes de la créature, Pégase. Il dompte Pégase, se jette dans les flammes, Bellérophon attache du plomb au bout de sa lance, la pointa vers la tête de lion crachant du feu, celui-ci fondu étouffant la Chimère.
minotaure;Minotaure;Minotaure fils du taureau Crétois et Pasiphaé. Physique : Homme à tête de taureau<br><br>Histoire : Minos, Roi de Crète, fit construire un labyrinthe par Dédale pour y enfermer la créature, pour le nourrir Minos demande à la ville d’Athène de leur offrir 7 jeunes hommes et 7 jeunes femmes tous les 9 ans, qu’il enferme dans le labyrinthe pour que le Minotaure s’en nourrisse.
meduse;Méduse;Méduse fille de Phorcys et Céto. Physique : Femme à cheveux de serpents avec des crocs.<br><br>Histoire : Méduse était une femme très belle qui s’est faite violée par Poséidon dans le temple d’Athéna, la déesse l’a donc punit en la transformant en gorgone, une créature capable de changer tous ceux qui croisent son regard, en pierre. Plus tard Persée fut envoyé par son père Polydecte pour tuer la gorgone, pour ce faire il reçu un bouclier de la part d’Athéna, en voulant attaquer Méduse, il retourna son bouclier, montrant la face réfléchissante de ce dernier, Méduse voyant son reflet, s’auto-pétrifia. Persée coupa la tête de Méduse et s’en servit comme arme pour pétrifier ses ennemis.
charybdescylla;Charybde et Scylla;Charybde et Scylla enfants de Poséidon et Gaïa <br>Physique : <br>Charybde : Tourbillon<br> Scylla : Corps de femme, queue de poisson et six têtes de chien<br><br>Histoire : Ces deux montres qui vont de paire ont donné une expression encore utilisé à nos jours « Passer de Charybde en Scylla » expression qui signifie « fuir un problème pour au final en affronter un plus gros » Charybde toujours affamé à été punie par Zeus pour avoir mangé le bétail d’Héraclès et fut transformé en tourbillon, elle avale les navires qui passent trop près d’elle depuis ce jour. Scylla est un monstre qui vit dans un grotte sur un récif.Ulysse traversant la zone en bateau a dû faire un choix, les deux monstres vivant dans un passage de mer étroite, Ulysse était obligé d’ affronter l’un des deux monstres. Il esquiva Charybde pour affronter Scylla.
lelapsteumesse;Lélaps et Le renard de Teumesse;Lélaps et Le renard de Teumesse. Physique : Un chien et un renard<br><br>Histoire : Le renard de Teumesse effrayait la population locale et s’attaquait aux animaux, ce renard avait une particularité, il ne pouvait être rattrapé par personne. Pour se débarrasser de ce renard, Céphale utilisa son chien, Lélaps, qui avait la particularité de toujours attraper sa cible. Un paradoxe qui fut donc créé, le renard de Teumesse ne peut être attrapé par personne mais le chien Lélaps attrape toujours sa cible, pour remédier à ce paradoxe infini, Zeus décide de changer les deux animaux en statues de pierre. 
ladon;Ladon;Ladon fils d’Echidna et de Typhon. Physique : Dragon à 100 têtes<br><br>Chacune des têtes de Ladon parle une langue différente. Une fois assez puissant, Héra confie à Ladon la protection du pommier divin aux pommes d’or. Quand Héraclès dû tuer le dragon, pour honorer sa mémoire Héra prit le corps de Ladon et le mit dans le ciel, devenant la constellation du Dragon.
dragoncolchide;Le Dragon de Colchide;Le Dragon de Colchide fils d’Echidna et Typhon. Physique : Dragon à trois langues.<br><br>Le dragon de Colchide avait comme tâche de protéger la toison d’or dans le bosquet d’Arès, comme ce dragon ne dormait jamais et ne baissait jamais sa garde, il était le gardien idéal pour protéger la toison d’or. Le dragon fut tué par Jason qui avait comme mission de récupérer la toison.
aiglecaucase;Aigle du Caucase;Physique : Un aigle<br><br>L’Histoire de cet aigle est assez simple, lorsque Prométhée vola le feu pour le donner aux humains, Zeus le punit en l’attachant au sommet du Caucase, là où un aigle venait lui manger le foie tous les jours, et toutes les nuits, son foie se régénérait.
laiecrommyon;Laie de Crommyon;Laie de Crommyon fille d’Echidna et Typhon. Physique : Truie / Laie<br><br>La laie de Crommyon est décrite comme féroce et sauvage, une tueuse d’homme qui terrorise les habitants de Crommyon en Corinthe. Elle fut abattue par Thésée pendant qu’il traversait le golfe Saronique.